,lat,lon,alt
0,308.8245527963094,-9141.781831037793,6.549959791565105
1,300.932209187806,-9141.676412404559,6.549430690021895
2,288.1785697865212,-9141.461958281594,6.54853326619385
3,277.3122515916698,-9141.302669357707,6.547822357444705
4,267.9900530212371,-9141.141537828416,6.547192230470296
5,258.2977175590751,-9141.024693111849,6.5466241156354235
6,250.5196344503467,-9140.861718728484,6.546079836970326
7,243.48508668676473,-9140.755274823321,6.545654389384066
8,236.22177087843517,-9140.649103592576,6.545228614684422
9,228.272231115434,-9140.601168635725,6.544869820735744
10,221.8808678162371,-9140.384839239197,6.5443341166123
11,215.81832813868147,-9140.104980894854,6.543725073979078
12,209.8129743179915,-9139.825053879164,6.543123606050772
13,203.23522994169468,-9139.143882350654,6.541935349376632
14,196.02790294607655,-9138.061533323713,6.540160539180382
15,190.13595679868897,-9136.977613774166,6.53843100426668
16,183.50004675164683,-9135.49265173278,6.536111968364795
17,178.06479687317844,-9133.71916441191,6.533421070625535
18,173.8307572919635,-9132.116498022688,6.531012255040517
19,169.93992956331917,-9130.570839257882,6.528697314309892
20,166.04903178713897,-9128.967760611646,6.526303054519216
21,161.75718015706127,-9126.848392138507,6.523163574315391
22,157.2362208969653,-9124.44220182894,6.519612259892168
23,153.57339855701144,-9122.264661040173,6.516412290990123
24,148.93730218291984,-9119.226998790877,6.511964175426152
25,144.52990029384912,-9116.131642234861,6.507443725926052
26,140.5798895463721,-9112.920900995956,6.502773286216658
27,136.68672798767648,-9109.422995817065,6.497698555036002
28,132.76434587482788,-9105.551719035468,6.492095199920362
29,128.12606132430562,-9100.676643472345,6.4850517655944415
30,124.28872712647872,-9096.030286072744,6.478356756069656
31,120.9663196053682,-9091.555569269187,6.471921534831998
32,117.75802350175803,-9086.851038262525,6.465166326517325
33,114.20494794601103,-9080.768861321509,6.456451145856784
34,111.74014302902884,-9076.063441034667,6.44971904161168
35,108.93035703815441,-9069.808118085773,6.440784294322543
36,106.53199355102807,-9063.780399862108,6.432186785789038
37,104.4655001641301,-9057.351933038708,6.423032987856721
38,102.79894452768379,-9050.578477199306,6.413403905571989
39,101.2463029986829,-9043.4029518627,6.4032149386162835
40,100.20757819645762,-9035.537791030638,6.392066821162302
41,99.7401667933732,-9027.155185046817,6.380206117914422
42,99.90443843477706,-9020.953752151616,6.37144668649169
43,100.18330057173789,-9014.924441363002,6.362938028855474
44,100.70592559313877,-9010.674829625319,6.356949489908721
45,101.55704725699013,-9004.931941739249,6.348863499062284
46,102.8654346132673,-8998.958842683447,6.340465797852957
47,106.1689905326762,-8987.41377709401,6.324263832005389
48,108.1077071655452,-8982.473484625352,6.317346587627632
49,110.4462950371972,-8977.130794555125,6.309875078706327
50,112.61445483710061,-8972.764426675598,6.30377741163967
51,115.35372322868812,-8967.708367651496,6.29672537885755
52,117.97935015950509,-8963.28405137943,6.290562967452639
53,120.7769553254528,-8959.204049430758,6.284890944319831
54,123.51770591183629,-8955.41121043083,6.279624292833777
55,126.48749059568641,-8951.847781321261,6.274687159193873
56,130.08564391900669,-8947.654110268293,6.268883254813815
57,133.62727439225992,-8944.032601120196,6.263884165671229
58,137.05485761446184,-8940.698321397194,6.259288716279127
59,141.1112082300336,-8937.076218431113,6.25430801455785
60,145.11096979812785,-8933.970952160795,6.250053591850038
61,149.6251823652584,-8930.635415499011,6.245493285930561
62,153.28262920211895,-8928.245724884664,6.242239353811088
63,157.8546992325389,-8925.48431223246,6.23849156570631
64,162.31278678670986,-8923.067546078355,6.235226839604337
65,167.62853583707263,-8920.477529146807,6.231746712952288
66,172.8303681016642,-8918.289576724443,6.2288303888528835
67,178.03259833731974,-8916.446136578626,6.226400028994112
68,184.20700231931986,-8914.544149666763,6.223920809128903
69,191.01076719328682,-8912.871106576791,6.221786497589309
70,198.55820576873856,-8911.36945601741,6.2199222014445
71,207.8790140562674,-8910.267672885662,6.218682744090791
72,214.22670306631548,-8909.858365482736,6.218322309913733
73,218.22977518643827,-8909.62403885132,6.218131473658641
74,227.38045718094662,-8909.785652766432,6.218677384000109
75,235.272872476966,-8909.891311480706,6.219111744364881
76,241.27786407483586,-8909.884328989123,6.219326903373093
77,247.22579419871514,-8909.992248397037,6.219705804842963
78,253.91712666266125,-8910.041885450783,6.220038587531654
79,262.61024467164566,-8910.204030013336,6.220617678339887
80,273.2478845796396,-8910.421330552363,6.221368819333071
81,283.0275253825867,-8910.52479317192,6.221940709731815
82,293.77938361563156,-8910.627124887455,6.222570877220666
83,311.0512072098837,-8911.008960583194,6.223924607418041
84,320.9450461865835,-8910.997454487362,6.22439997730079
85,328.0940329613068,-8911.218809210164,6.225073477050483
86,334.8425518271241,-8911.325795000987,6.2255743551788205
87,346.9352474188397,-8911.511037974322,6.22648077067125
88,358.0302205382534,-8911.670384980935,6.227317818870422
89,370.211843539754,-8911.88588445499,6.228315715017131
90,381.6445966480515,-8912.044837423504,6.2292130723485455
91,394.3408855958139,-8912.259736854667,6.230287241244233
92,404.8640993700466,-8912.591996364377,6.2314118631159525
93,415.1016873180532,-8913.211669759703,6.232936358254099
94,421.4504080189013,-8913.835865616062,6.234224890981978
95,428.9436381059846,-8915.09030942633,6.23647657982473
96,434.7783820137179,-8916.346680728628,6.238626472482743
97,441.58613478441123,-8918.290913518327,6.241809878811008
98,447.0782712655208,-8920.007009357905,6.244589948645017
99,453.3146609428175,-8922.411230922595,6.248389476993874
100,458.3499485928097,-8924.70201521683,6.251950861146147
101,463.84334549492763,-8927.509008145504,6.256271964643738
102,468.3643979807538,-8930.202298090378,6.260368404733037
103,473.74441654629317,-8933.87065678706,6.265896932645989
104,479.12476797500364,-8937.826090133347,6.2718338692334825
105,484.7917975896235,-8942.412759333405,6.278683415762765
106,490.18758346641107,-8947.605963966393,6.28637008613133
107,494.99745426047105,-8952.767780005695,6.2939759415357015
108,500.1517316758422,-8959.020088680278,6.303146231809157
109,504.04705936545105,-8964.58487178616,6.311261908146584
110,507.1982677983675,-8969.576362096355,6.318520307968748
111,510.5221865907514,-8975.543714698242,6.327169337888406
112,514.0767465421219,-8983.118433578495,6.338104854809562
