,lat,lon,alt
0,309.20828813018653,-9127.413484302588,6.529428702000762
1,302.91739976766553,-9127.420977980682,6.529136773604158
2,294.4529453858682,-9127.143973657294,6.528343528810126
3,285.5727417704101,-9126.98229887495,6.527707688059082
4,278.13789544503817,-9126.8763196484,6.527226863176524
5,270.9888559662092,-9126.655164558439,6.526602311556328
6,261.5522696497464,-9126.494151287074,6.525977287055896
7,254.51786891756004,-9126.50252966184,6.525703958201075
8,245.5961123398545,-9126.455738177223,6.525286436352565
9,237.81794838657538,-9126.235330928996,6.524675989915297
10,230.8405797224679,-9126.12880527183,6.524266788695546
11,224.4351781499825,-9126.079016142798,6.523966462577057
12,217.3433479191675,-9125.915208423707,6.523486183652425
13,209.2055282348972,-9125.697520981406,6.522902350366935
14,202.17046443727878,-9125.189136218343,6.521948543248421
15,197.47993977236246,-9124.448286017507,6.520742788964599
16,192.21736825363692,-9123.5932796313,6.519360199330985
17,186.26788871257725,-9122.222325718541,6.517224995745231
18,181.57653454730436,-9120.792453850612,6.515047294036093
19,176.31272264178162,-9118.903915012434,6.512202604277436
20,170.76213340895222,-9116.326694536692,6.508372099792155
21,165.1541452582442,-9113.577283394874,6.5043002838368205
22,160.00320398521362,-9110.42539576338,6.499671957021934
23,152.5785377913002,-9105.504495491808,6.492472181362284
24,145.70892685248896,-9099.885641541237,6.484303084656328
25,140.44134693102455,-9094.839061991685,6.4769963949531295
26,135.51582400246156,-9088.873371871045,6.4683973215510395
27,131.5057699827575,-9083.251100826887,6.4603148839029645
28,126.57861814257933,-9075.907349807701,6.449775122576336
29,122.79515941685051,-9068.447398415707,6.439104601970144
30,119.8127913427654,-9061.331004805004,6.428947488949902
31,117.28863753602862,-9054.788251771788,6.4196213644422935
32,115.09700747219641,-9047.390083029299,6.409097150043964
33,113.48426773366276,-9037.745631872864,6.395413575294178
34,112.8992250297224,-9026.607077439596,6.379651334234472
35,113.11609305114268,-9016.501115972975,6.365380424171793
36,114.24938525702842,-9007.542453496324,6.352759850839425
37,115.84197142350943,-9000.076142176385,6.342263157778151
38,118.23416452113378,-8991.690195668885,6.330495641727911
39,121.65688582925542,-8984.221745812338,6.320050199662815
40,125.19453347352076,-8977.212517540815,6.3102630423022905
41,129.53205623399532,-8969.513335464457,6.2995327970288
42,134.55654980688922,-8962.387544906464,6.289633864222326
43,139.69689419527361,-8956.515318504004,6.281507174823034
44,146.8950566462299,-8949.731518454257,6.2721597960862825
45,154.32251854364796,-8943.406811318384,6.263476163438645
46,163.23814883739846,-8938.113912111025,6.256289348350097
47,170.09650684331268,-8934.201464006166,6.250994951470124
48,180.61467281802993,-8929.940247996214,6.245325543411602
49,189.21657380857792,-8927.677908359501,6.242412826980798
50,197.9071564217711,-8925.600729748114,6.239774059076756
51,208.54328088684642,-8924.439979226694,6.238491776171153
52,218.37979315483057,-8924.198850952745,6.238484880981068
53,228.44545598822205,-8924.301963891887,6.238982419735168
54,235.76583254700486,-8924.293438145789,6.239237570360216
55,248.5966560698002,-8924.749407041445,6.2403631214442665
56,259.463076673637,-8924.966421389416,6.241100250959419
57,271.70204568603174,-8925.181836330024,6.241912181963996
58,284.9704162866294,-8925.396051434149,6.2427920155600285
59,298.2387641000172,-8925.610265731812,6.243699527592647
60,312.3077470387462,-8925.823546543705,6.244672669912866
61,329.67945669597503,-8925.961233484724,6.245741576775551
62,346.379104225234,-8926.171447962712,6.246922660175068
63,364.90877853787885,-8926.379529433118,6.248249309849624
64,381.6084836805838,-8926.704575201087,6.2496833845858335
65,405.5700736946103,-8927.30679777549,6.2520075294134765
66,416.0936742193294,-8927.983534701601,6.253633055497241
67,427.76197708285355,-8929.462765750035,6.256474832337622
68,436.45670657028353,-8931.175123672218,6.259459650940088
69,445.953543358559,-8934.149700894948,6.264278484892417
70,453.96426462268323,-8937.81499888284,6.269973219151892
71,462.43436535438207,-8943.087405736655,6.277963626306089
72,469.9890393181789,-8948.01637335753,6.285420804925632
73,475.94262301684637,-8953.114604037026,6.293008046583651
74,482.9278210929092,-8960.111195294945,6.303346062602841
75,488.9986746028109,-8967.68300354251,6.314436686179057
76,494.95663347275496,-8976.51808232033,6.3273086450474825
77,500.00065995841254,-8986.272873298332,6.341420464341172
78,503.90038784368,-8995.569668128026,6.354815367523572
79,507.3449121677678,-9006.819126702589,6.370943227412596
80,508.72931823896056,-9016.922683536513,6.385309826775147
81,509.4288296273354,-9028.175359937537,6.401262057372463
82,508.7559716265897,-9039.544485040937,6.417289108170655
83,507.2786956744932,-9047.699275884437,6.428718032106076
84,504.88912797269546,-9058.151782086552,6.4433435394396135
85,500.7839203979688,-9068.606325435923,6.457854664556739
86,495.64919608218577,-9078.947268085552,6.472143774882278
87,488.68390433284395,-9088.831068411582,6.485662347185223
88,482.63063713135665,-9096.187498959722,6.495672997003862
89,475.5470218628383,-9102.741340357903,6.504476862926093
90,467.8915187522689,-9109.295873762965,6.51325424287614
91,459.43414165156554,-9114.817882854124,6.52051599415055
92,450.8614249161403,-9119.53621383768,6.526638003037129
93,442.6304675943721,-9123.105822054446,6.531157869743084
94,432.4542582174095,-9125.988758286778,6.534576661213168
95,421.59081048243485,-9128.068690293469,6.5368197610323255
96,411.86948856677213,-9128.769270084122,6.537184274051783
97,401.91844008547446,-9128.666292632555,6.536400645625782
98,391.39548618332117,-9128.563996214805,6.535598347229106
99,381.9019260018409,-9128.460473078889,6.534873413443588
100,369.77750437088616,-9128.245250174006,6.533849547919822
101,356.6236524264537,-9128.031252864514,6.532792760787763
